"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "JavaScript", "TypeScript JSX", "YAML", "XML", "Visual Basic", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\jsnap\source\repos\Basic4WebGL\src\features\projects\createProjectWithMainFile.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\jsnap\source\repos\Basic4WebGL\src\features\projects\deleteProjectAndFiles.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\jsnap\source\repos\Basic4WebGL\src\features\projects\projectsSlice.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\jsnap\source\repos\Basic4WebGL\src\features\ui\uiSlice.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 42
"c:\Users\jsnap\source\repos\Basic4WebGL\src\features\ui\useSelectedFile.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\jsnap\source\repos\Basic4WebGL\src\globalProps\Asset.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\jsnap\source\repos\Basic4WebGL\src\globalProps\Project.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\jsnap\source\repos\Basic4WebGL\src\hooks.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\jsnap\source\repos\Basic4WebGL\src\hooks\useAssetsForProject.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\jsnap\source\repos\Basic4WebGL\src\hooks\useFilesForProject.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\jsnap\source\repos\Basic4WebGL\src\hooks\useLocalStorage.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 26
"c:\Users\jsnap\source\repos\Basic4WebGL\src\hooks\useProjectForBuild.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\jsnap\source\repos\Basic4WebGL\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\TokenResolver.ts", "TypeScript", 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 275
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\builtInTypes\autoload.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\builtInTypes\definitions\BooleanType.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\builtInTypes\definitions\NumberType.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\builtInTypes\definitions\ObjectType.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\builtInTypes\definitions\StringType.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\builtInTypes\definitions\VariantType.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\builtInTypes\definitions\VoidType.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\builtInTypes\index.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\defs\graphics\softAssetManager.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\defs\graphics\softDrawing.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\defs\graphics\softPen.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\defs\graphics\softSpriteManager.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\defs\graphics\softStage.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\defs\graphics\softText.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\defs\graphics\softTransform.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\defs\softArray.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\defs\softGFX.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
